timestamp,mode,keygen,sign,verify
2025-07-14 15:24:05,3,0.254,1.641,0.285
2025-07-14 15:24:07,3,0.259,1.593,0.273
2025-07-14 15:24:08,3,0.253,1.282,0.275
2025-07-14 15:24:09,3,0.253,1.267,0.286
2025-07-14 15:24:11,3,0.259,1.417,0.289
2025-07-14 15:24:12,3,0.261,1.055,0.280
2025-07-14 15:24:13,3,0.267,1.042,0.275
2025-07-14 15:24:15,3,0.249,1.248,0.280
2025-07-14 15:24:16,3,0.278,1.637,0.293
2025-07-14 15:24:18,3,0.248,1.385,0.285
2025-07-14 15:24:19,3,0.253,1.396,0.280
2025-07-14 15:24:20,3,0.257,1.214,0.289
2025-07-14 15:24:22,3,0.261,0.867,0.291
2025-07-14 15:24:23,3,0.258,1.173,0.302
2025-07-14 15:24:25,3,0.258,1.419,0.270
2025-07-14 15:24:26,3,0.255,1.474,0.285
2025-07-14 15:24:27,3,0.255,1.561,0.271
2025-07-14 15:24:29,3,0.275,1.677,0.284
2025-07-14 15:24:30,3,0.261,1.255,0.282
2025-07-14 15:24:32,3,0.260,1.079,0.283
2025-07-14 15:24:33,3,0.256,1.226,0.289
2025-07-14 15:24:35,3,0.252,1.708,0.278
2025-07-14 15:24:36,3,0.250,1.442,0.278
2025-07-14 15:24:37,3,0.261,1.500,0.285
2025-07-14 15:24:39,3,0.254,1.815,0.287
2025-07-14 15:24:40,3,0.260,1.462,0.276
2025-07-14 15:24:41,3,0.255,1.411,0.283
2025-07-14 15:24:43,3,0.300,1.152,0.326
2025-07-14 15:24:44,3,0.269,1.694,0.273
2025-07-14 15:24:46,3,0.255,1.093,0.294
2025-07-14 15:24:47,3,0.251,1.515,0.274
2025-07-14 15:24:48,3,0.258,1.470,0.279
2025-07-14 15:24:50,3,0.273,2.202,0.296
2025-07-14 15:24:51,3,0.257,1.179,0.278
2025-07-14 15:24:53,3,0.258,1.542,0.285
2025-07-14 15:24:54,3,0.252,1.213,0.276
2025-07-14 15:24:55,3,0.253,1.701,0.275
2025-07-14 15:24:57,3,0.269,1.775,0.297
2025-07-14 15:24:58,3,0.257,1.306,0.281
2025-07-14 15:25:00,3,0.257,1.688,0.279
2025-07-14 15:25:01,3,0.260,1.278,0.294
2025-07-14 15:25:03,3,0.253,1.882,0.290
2025-07-14 15:25:04,3,0.255,1.344,0.274
2025-07-14 15:25:05,3,0.264,1.333,0.282
2025-07-14 15:25:07,3,0.264,1.184,0.273
2025-07-14 15:25:08,3,0.253,1.141,0.286
2025-07-14 15:25:09,3,0.263,1.300,0.280
2025-07-14 15:25:11,3,0.255,1.546,0.284
2025-07-14 15:25:12,3,0.253,1.449,0.274
2025-07-14 15:25:14,3,0.296,1.208,0.304
2025-07-14 15:25:15,3,0.250,1.223,0.297
2025-07-14 15:25:16,3,0.254,1.330,0.279
2025-07-14 15:25:18,3,0.249,1.002,0.274
2025-07-14 15:25:19,3,0.268,1.466,0.280
2025-07-14 15:25:21,3,0.264,1.850,0.280
2025-07-14 15:25:22,3,0.254,1.063,0.282
2025-07-14 15:25:23,3,0.255,1.206,0.289
2025-07-14 15:25:25,3,0.254,1.206,0.282
2025-07-14 15:25:26,3,0.292,1.079,0.281
2025-07-14 15:25:28,3,0.265,1.539,0.293
2025-07-14 15:25:29,3,0.250,1.586,0.302
2025-07-14 15:25:30,3,0.267,1.086,0.271
2025-07-14 15:25:32,3,0.260,1.055,0.283
2025-07-14 15:25:33,3,0.273,1.706,0.285
2025-07-14 15:25:35,3,0.248,1.541,0.282
2025-07-14 15:25:36,3,0.256,1.402,0.286
2025-07-14 15:25:38,3,0.248,2.254,0.280
2025-07-14 15:25:39,3,0.259,1.700,0.275
2025-07-14 15:25:40,3,0.255,1.326,0.275
2025-07-14 15:25:42,3,0.260,1.229,0.285
2025-07-14 15:25:43,3,0.256,1.448,0.276
2025-07-14 15:25:45,3,0.267,1.155,0.276
2025-07-14 15:25:46,3,0.269,1.272,0.291
2025-07-14 15:25:48,3,0.254,1.382,0.292
2025-07-14 15:25:49,3,0.259,1.655,0.282
2025-07-14 15:25:50,3,0.294,1.363,0.324
2025-07-14 15:25:52,3,0.280,1.118,0.287
2025-07-14 15:25:53,3,0.253,1.493,0.291
2025-07-14 15:25:55,3,0.250,1.338,0.282
2025-07-14 15:25:56,3,0.257,1.109,0.302
2025-07-14 15:25:58,3,0.255,1.389,0.279
2025-07-14 15:25:59,3,0.272,1.533,0.287
2025-07-14 15:26:00,3,0.536,1.061,0.286
2025-07-14 15:26:02,3,0.251,1.413,0.282
2025-07-14 15:26:03,3,0.276,1.825,0.302
2025-07-14 15:26:05,3,0.260,1.098,0.275
2025-07-14 15:26:06,3,0.263,1.074,0.277
2025-07-14 15:26:07,3,0.267,1.264,0.282
2025-07-14 15:26:09,3,0.261,0.852,0.291
2025-07-14 15:26:10,3,0.257,1.455,0.274
2025-07-14 15:26:12,3,0.256,1.352,0.278
2025-07-14 15:26:13,3,0.264,1.414,0.284
2025-07-14 15:26:14,3,0.258,1.228,0.295
2025-07-14 15:26:16,3,0.256,1.255,0.307
2025-07-14 15:26:17,3,0.255,0.977,0.276
2025-07-14 15:26:19,3,0.256,1.132,0.274
2025-07-14 15:26:20,3,0.255,1.167,0.280
2025-07-14 15:26:21,3,0.259,1.047,0.312
2025-07-14 15:26:23,3,0.258,1.099,0.276
2025-07-14 15:26:24,3,0.256,0.887,0.283
