timestamp,mode,keygen,sign,verify,znorm,lowbits,hintnorm,hintcount
2025-05-30 13:59:54,2,0.084,0.367,0.095,33,21,0,0
2025-05-30 13:59:55,2,0.080,0.433,0.095,57,27,0,0
2025-05-30 13:59:55,2,0.078,0.584,0.094,79,60,0,0
2025-05-30 13:59:56,2,0.080,0.487,0.097,55,42,0,0
2025-05-30 13:59:57,2,0.079,0.393,0.094,45,26,0,0
2025-05-30 13:59:58,2,0.079,0.368,0.095,34,24,0,2
2025-05-30 13:59:58,2,0.078,0.406,0.093,43,30,0,1
2025-05-30 13:59:59,2,0.078,0.459,0.094,52,42,0,0
2025-05-30 14:00:00,2,0.079,0.404,0.094,35,35,0,1
2025-05-30 14:00:01,2,0.080,0.414,0.095,47,30,0,0
2025-05-30 14:00:02,2,0.079,0.363,0.095,39,18,0,0
2025-05-30 14:00:02,2,0.080,0.450,0.097,50,35,0,0
2025-05-30 14:00:03,2,0.081,0.375,0.095,36,26,0,0
2025-05-30 14:00:04,2,0.081,0.400,0.099,42,25,0,0
2025-05-30 14:00:05,2,0.081,0.437,0.098,44,34,0,0
2025-05-30 14:00:05,2,0.079,0.399,0.096,45,26,0,0
2025-05-30 14:00:06,2,0.079,0.474,0.096,62,38,0,0
2025-05-30 14:00:07,2,0.078,0.512,0.095,72,43,0,1
2025-05-30 14:00:08,2,0.079,0.433,0.096,47,35,0,0
2025-05-30 14:00:08,2,0.078,0.377,0.090,31,32,0,1
2025-05-30 14:00:09,2,0.078,0.391,0.091,41,28,0,0
2025-05-30 14:00:10,2,0.080,0.374,0.091,42,22,0,1
2025-05-30 14:00:11,2,0.078,0.376,0.090,35,29,0,0
2025-05-30 14:00:11,2,0.078,0.448,0.090,55,37,0,0
2025-05-30 14:00:12,2,0.078,0.411,0.090,52,24,0,1
2025-05-30 14:00:13,2,0.081,0.441,0.095,45,35,0,0
2025-05-30 14:00:14,2,0.081,0.441,0.093,42,39,0,1
2025-05-30 14:00:15,2,0.079,0.406,0.091,41,34,0,0
2025-05-30 14:00:15,2,0.080,0.382,0.094,29,31,0,0
2025-05-30 14:00:16,2,0.079,0.398,0.091,44,29,0,0
2025-05-30 14:00:17,2,0.079,0.483,0.096,58,39,0,2
2025-05-30 14:00:18,2,0.081,0.477,0.098,55,38,0,0
2025-05-30 14:00:18,2,0.081,0.392,0.097,39,25,0,0
2025-05-30 14:00:19,2,0.081,0.469,0.097,56,35,0,0
2025-05-30 14:00:20,2,0.080,0.372,0.092,36,28,0,0
2025-05-30 14:00:21,2,0.081,0.449,0.094,55,30,0,0
2025-05-30 14:00:21,2,0.081,0.369,0.094,27,28,0,0
2025-05-30 14:00:22,2,0.079,0.523,0.091,71,46,0,1
2025-05-30 14:00:23,2,0.078,0.449,0.091,64,30,0,0
2025-05-30 14:00:24,2,0.081,0.426,0.094,48,28,0,0
2025-05-30 14:00:25,2,0.080,0.390,0.095,31,28,0,1
2025-05-30 14:00:25,2,0.078,0.506,0.091,66,46,0,0
2025-05-30 14:00:26,2,0.081,0.443,0.094,49,30,0,2
2025-05-30 14:00:27,2,0.081,0.517,0.095,65,39,0,0
2025-05-30 14:00:28,2,0.081,0.424,0.093,50,29,0,0
2025-05-30 14:00:28,2,0.081,0.445,0.093,48,35,0,0
2025-05-30 14:00:29,2,0.081,0.511,0.094,62,43,0,1
2025-05-30 14:00:30,2,0.080,0.433,0.094,50,29,0,0
2025-05-30 14:00:31,2,0.081,0.573,0.094,65,60,0,0
2025-05-30 14:00:31,2,0.078,0.368,0.093,43,18,0,0
2025-05-30 14:00:32,2,0.081,0.466,0.097,53,35,0,1
2025-05-30 14:00:33,2,0.078,0.405,0.095,46,28,0,0
2025-05-30 14:00:34,2,0.080,0.401,0.097,41,24,0,1
2025-05-30 14:00:35,2,0.080,0.363,0.098,34,20,0,0
2025-05-30 14:00:35,2,0.079,0.486,0.095,57,45,0,0
2025-05-30 14:00:36,2,0.079,0.442,0.095,50,35,0,0
2025-05-30 14:00:37,2,0.079,0.419,0.095,40,37,0,0
2025-05-30 14:00:38,2,0.081,0.453,0.098,61,25,0,1
2025-05-30 14:00:38,2,0.078,0.396,0.093,40,29,0,2
2025-05-30 14:00:39,2,0.080,0.532,0.095,66,46,0,0
2025-05-30 14:00:40,2,0.080,0.421,0.095,48,26,0,1
2025-05-30 14:00:41,2,0.078,0.435,0.094,49,37,0,0
2025-05-30 14:00:42,2,0.082,0.460,0.097,51,34,0,1
2025-05-30 14:00:42,2,0.079,0.476,0.094,54,43,0,1
2025-05-30 14:00:43,2,0.082,0.404,0.097,36,30,0,0
2025-05-30 14:00:44,2,0.079,0.503,0.096,67,44,0,0
2025-05-30 14:00:45,2,0.078,0.448,0.095,57,33,0,1
2025-05-30 14:00:45,2,0.079,0.449,0.094,58,33,0,0
2025-05-30 14:00:46,2,0.079,0.424,0.095,46,35,0,1
2025-05-30 14:00:47,2,0.080,0.424,0.093,53,25,0,1
2025-05-30 14:00:48,2,0.079,0.432,0.092,47,38,0,0
2025-05-30 14:00:49,2,0.081,0.516,0.094,70,39,0,0
2025-05-30 14:00:49,2,0.080,0.445,0.094,50,33,0,0
2025-05-30 14:00:50,2,0.081,0.439,0.096,48,32,0,0
2025-05-30 14:00:51,2,0.078,0.390,0.092,39,30,0,1
2025-05-30 14:00:52,2,0.079,0.514,0.091,64,49,0,1
2025-05-30 14:00:52,2,0.078,0.433,0.091,54,32,0,1
2025-05-30 14:00:53,2,0.082,0.518,0.094,77,34,0,0
2025-05-30 14:00:54,2,0.079,0.528,0.092,58,57,0,2
2025-05-30 14:00:55,2,0.079,0.514,0.091,75,39,0,0
2025-05-30 14:00:56,2,0.079,0.395,0.094,43,28,0,0
2025-05-30 14:00:56,2,0.081,0.453,0.095,55,31,0,0
2025-05-30 14:00:57,2,0.079,0.363,0.091,33,25,0,0
2025-05-30 14:00:58,2,0.081,0.488,0.094,57,40,0,0
2025-05-30 14:00:59,2,0.081,0.473,0.094,50,40,0,1
2025-05-30 14:00:59,2,0.081,0.420,0.093,45,30,0,1
2025-05-30 14:01:00,2,0.082,0.477,0.094,57,35,0,1
2025-05-30 14:01:01,2,0.078,0.371,0.090,35,28,0,0
2025-05-30 14:01:02,2,0.078,0.410,0.091,45,33,0,0
2025-05-30 14:01:03,2,0.082,0.527,0.094,69,42,0,1
2025-05-30 14:01:03,2,0.079,0.361,0.092,39,20,0,0
2025-05-30 14:01:04,2,0.081,0.445,0.095,48,34,0,0
2025-05-30 14:01:05,2,0.081,0.406,0.095,40,27,0,0
2025-05-30 14:01:06,2,0.081,0.384,0.093,38,25,0,0
