timestamp,mode,keygen,sign,verify,slow_rej,fast_rej
2025-05-20 13:45:38,3,0.149,0.678,0.149,0,0
2025-05-20 13:45:39,3,0.148,0.595,0.148,0,1
2025-05-20 13:45:40,3,0.149,0.724,0.150,3,6
2025-05-20 13:45:41,3,0.149,0.662,0.148,0,3
2025-05-20 13:45:42,3,0.154,0.606,0.149,6,4
2025-05-20 13:45:42,3,0.151,0.577,0.147,5,6
2025-05-20 13:45:43,3,0.149,0.588,0.148,0,0
2025-05-20 13:45:44,3,0.147,0.744,0.149,9,6
2025-05-20 13:45:45,3,0.150,0.579,0.148,1,0
2025-05-20 13:45:46,3,0.150,0.585,0.149,0,0
2025-05-20 13:45:46,3,0.151,0.542,0.150,2,0
2025-05-20 13:45:47,3,0.149,0.479,0.149,0,0
2025-05-20 13:45:47,3,0.152,0.768,0.149,2,1
2025-05-20 13:45:48,3,0.149,0.423,0.148,1,4
2025-05-20 13:45:49,3,0.152,0.580,0.148,0,0
2025-05-20 13:45:50,3,0.152,0.593,0.154,0,0
2025-05-20 13:45:51,3,0.149,0.511,0.150,0,0
2025-05-20 13:45:51,3,0.148,0.660,0.149,5,2
2025-05-20 13:45:52,3,0.149,0.583,0.149,3,2
2025-05-20 13:45:53,3,0.156,0.613,0.152,0,0
2025-05-20 13:45:54,3,0.150,0.676,0.147,6,7
2025-05-20 13:45:55,3,0.150,0.667,0.149,0,0
2025-05-20 13:45:56,3,0.154,0.703,0.151,3,4
2025-05-20 13:45:56,3,0.149,0.929,0.148,4,5
2025-05-20 13:45:57,3,0.150,0.581,0.147,1,1
2025-05-20 13:45:58,3,0.153,0.669,0.155,1,0
2025-05-20 13:45:59,3,0.154,0.708,0.156,12,9
2025-05-20 13:46:00,3,0.152,0.647,0.148,5,4
2025-05-20 13:46:01,3,0.150,0.445,0.149,2,0
2025-05-20 13:46:01,3,0.149,0.565,0.148,0,0
2025-05-20 13:46:02,3,0.152,0.602,0.151,0,3
2025-05-20 13:46:03,3,0.151,0.618,0.150,4,2
2025-05-20 13:46:04,3,0.150,0.652,0.150,0,0
2025-05-20 13:46:05,3,0.149,0.686,0.148,3,0
2025-05-20 13:46:06,3,0.151,0.634,0.148,1,3
2025-05-20 13:46:07,3,0.149,0.683,0.150,4,1
2025-05-20 13:46:07,3,0.148,0.643,0.149,0,0
2025-05-20 13:46:08,3,0.150,0.655,0.148,0,0
2025-05-20 13:46:09,3,0.148,0.657,0.150,0,0
2025-05-20 13:46:10,3,0.148,0.617,0.147,0,0
2025-05-20 13:46:11,3,0.151,0.728,0.149,1,1
2025-05-20 13:46:12,3,0.151,0.531,0.150,0,0
2025-05-20 13:46:12,3,0.150,0.487,0.149,0,0
2025-05-20 13:46:13,3,0.149,0.480,0.150,0,0
