timestamp,mode,keygen,sign,verify
2025-04-09 17:15:42,5,0.411,1.421,0.439
2025-04-09 17:15:45,5,0.409,1.377,0.442
2025-04-09 17:15:49,5,0.413,1.393,0.438
2025-04-09 17:15:52,5,0.414,1.440,0.441
2025-04-09 17:15:56,5,0.413,1.417,0.442
2025-04-09 17:15:59,5,0.410,1.396,0.437
2025-04-09 17:16:03,5,0.411,1.415,0.437
2025-04-09 17:16:06,5,0.423,1.453,0.462
2025-04-09 17:16:10,5,0.410,1.447,0.437
2025-04-09 17:16:13,5,0.409,1.417,0.440
2025-04-09 17:16:17,5,0.411,1.401,0.436
2025-04-09 17:16:20,5,0.414,1.429,0.447
2025-04-09 17:16:24,5,0.412,1.427,0.437
2025-04-09 17:16:28,5,0.419,1.488,0.452
2025-04-09 17:16:31,5,0.410,1.448,0.439
2025-04-09 17:16:35,5,0.413,1.415,0.440
2025-04-09 17:16:39,5,0.424,1.434,0.442
2025-04-09 17:16:43,5,0.479,1.633,0.512
2025-04-09 17:16:47,5,0.461,1.519,0.490
2025-04-09 17:16:50,5,0.414,1.460,0.441
2025-04-09 17:16:54,5,0.411,1.412,0.439
2025-04-09 17:16:57,5,0.423,1.475,0.461
2025-04-09 17:17:01,5,0.411,1.457,0.443
2025-04-09 17:17:04,5,0.414,1.422,0.441
2025-04-09 17:17:08,5,0.429,1.489,0.459
2025-04-09 17:17:12,5,0.411,1.462,0.440
2025-04-09 17:17:15,5,0.416,1.429,0.439
2025-04-09 17:17:19,5,0.429,1.506,0.456
2025-04-09 17:17:23,5,0.425,1.502,0.449
2025-04-09 17:17:26,5,0.414,1.444,0.441
2025-04-09 17:17:30,5,0.436,1.495,0.456
2025-04-09 17:17:34,5,0.423,1.443,0.443
2025-04-09 17:17:37,5,0.412,1.444,0.435
2025-04-09 17:17:41,5,0.413,1.446,0.440
2025-04-09 17:17:44,5,0.410,1.424,0.438
2025-04-09 17:17:48,5,0.412,1.384,0.451
2025-04-09 17:17:51,5,0.419,1.473,0.437
2025-04-09 17:17:55,5,0.412,1.407,0.445
2025-04-09 17:17:58,5,0.415,1.405,0.440
2025-04-09 17:18:02,5,0.409,1.391,0.452
2025-04-09 17:18:06,5,0.420,1.398,0.440
2025-04-09 17:18:09,5,0.411,1.415,0.441
2025-04-09 17:18:13,5,0.416,1.450,0.441
2025-04-09 17:18:16,5,0.410,1.429,0.438
2025-04-09 17:18:20,5,0.422,1.398,0.439
2025-04-09 17:18:24,5,0.411,1.437,0.439
2025-04-09 17:18:27,5,0.413,1.454,0.441
2025-04-09 17:18:31,5,0.416,1.420,0.442
2025-04-09 17:18:34,5,0.408,1.407,0.436
2025-04-09 17:18:38,5,0.411,1.415,0.441
2025-04-09 17:18:41,5,0.414,1.489,0.438
2025-04-09 17:18:45,5,0.409,1.459,0.443
2025-04-09 17:18:48,5,0.412,1.420,0.449
2025-04-09 17:18:52,5,0.413,1.445,0.443
2025-04-09 17:18:56,5,0.413,1.480,0.441
2025-04-09 17:18:59,5,0.410,1.420,0.437
2025-04-09 17:19:03,5,0.415,1.435,0.440
2025-04-09 17:19:06,5,0.413,1.436,0.442
2025-04-09 17:19:10,5,0.412,1.427,0.442
2025-04-09 17:19:13,5,0.410,1.415,0.436
2025-04-09 17:19:17,5,0.411,1.484,0.442
2025-04-09 17:19:21,5,0.411,1.463,0.442
2025-04-09 17:19:24,5,0.414,1.479,0.446
2025-04-09 17:19:28,5,0.411,1.411,0.441
2025-04-09 17:19:31,5,0.413,1.415,0.438
2025-04-09 17:19:35,5,0.423,1.428,0.438
2025-04-09 17:19:38,5,0.413,1.416,0.438
2025-04-09 17:19:42,5,0.408,1.434,0.436
2025-04-09 17:19:46,5,0.411,1.451,0.450
2025-04-09 17:19:49,5,0.411,1.447,0.437
2025-04-09 17:19:53,5,0.422,1.431,0.438
2025-04-09 17:19:56,5,0.410,1.420,0.450
2025-04-09 17:20:00,5,0.410,1.474,0.438
2025-04-09 17:20:03,5,0.408,1.403,0.437
2025-04-09 17:20:07,5,0.410,1.422,0.449
2025-04-09 17:20:10,5,0.413,1.434,0.437
2025-04-09 17:20:14,5,0.408,1.458,0.435
2025-04-09 17:20:18,5,0.411,1.435,0.442
2025-04-09 17:20:21,5,0.410,1.409,0.438
2025-04-09 17:20:25,5,0.410,1.404,0.440
2025-04-09 17:20:28,5,0.409,1.404,0.441
2025-04-09 17:20:32,5,0.411,1.456,0.438
2025-04-09 17:20:35,5,0.410,1.449,0.437
2025-04-09 17:20:39,5,0.410,1.366,0.439
2025-04-09 17:20:42,5,0.413,1.416,0.436
2025-04-09 17:20:46,5,0.417,1.444,0.439
2025-04-09 17:20:49,5,0.413,1.465,0.440
2025-04-09 17:20:53,5,0.409,1.462,0.442
2025-04-09 17:20:57,5,0.419,1.389,0.453
2025-04-09 17:21:00,5,0.414,1.430,0.438
2025-04-09 17:21:04,5,0.409,1.436,0.438
2025-04-09 17:21:07,5,0.415,1.459,0.436
2025-04-09 17:21:11,5,0.466,1.532,0.494
2025-04-09 17:21:15,5,0.409,1.455,0.437
2025-04-09 17:21:18,5,0.410,1.417,0.441
2025-04-09 17:21:22,5,0.409,1.451,0.437
2025-04-09 17:21:25,5,0.410,1.419,0.438
2025-04-09 17:21:29,5,0.437,1.461,0.443
2025-04-09 17:21:33,5,0.413,1.388,0.440
2025-04-09 17:21:36,5,0.410,1.419,0.437
