timestamp,mode,keygen,sign,verify,znorm,lowbits,hintnorm,hintcount
2025-06-07 17:57:48,3,0.142,0.752,0.143,30,22,0,0
2025-06-07 17:57:48,3,0.144,0.916,0.141,27,41,0,0
2025-06-07 17:57:49,3,0.140,0.623,0.139,23,18,0,0
2025-06-07 17:57:50,3,0.139,0.852,0.137,30,36,0,0
2025-06-07 17:57:50,3,0.141,0.656,0.138,23,21,0,0
2025-06-07 17:57:51,3,0.139,0.721,0.136,15,34,0,0
2025-06-07 17:57:52,3,0.144,0.731,0.142,15,32,0,0
2025-06-07 17:57:52,3,0.139,0.879,0.137,37,34,0,0
2025-06-07 17:57:53,3,0.141,0.385,0.142,7,4,0,0
2025-06-07 17:57:54,3,0.144,0.626,0.143,11,25,0,0
2025-06-07 17:57:54,3,0.143,0.648,0.145,21,19,0,0
2025-06-07 17:57:55,3,0.142,0.558,0.143,16,14,0,0
2025-06-07 17:57:56,3,0.144,0.428,0.143,4,11,0,0
2025-06-07 17:57:56,3,0.142,0.833,0.143,28,32,0,0
2025-06-07 17:57:57,3,0.140,0.531,0.139,13,15,0,0
2025-06-07 17:57:58,3,0.142,0.774,0.145,23,30,0,0
2025-06-07 17:57:58,3,0.140,0.616,0.137,23,17,0,0
2025-06-07 17:57:59,3,0.138,0.522,0.138,18,11,0,0
2025-06-07 17:58:00,3,0.139,0.654,0.137,21,23,0,0
2025-06-07 17:58:00,3,0.142,0.763,0.146,27,26,0,0
2025-06-07 17:58:01,3,0.141,0.470,0.143,8,12,0,0
2025-06-07 17:58:02,3,0.144,0.496,0.143,12,11,0,0
2025-06-07 17:58:02,3,0.137,0.805,0.138,33,29,0,0
2025-06-07 17:58:03,3,0.138,0.507,0.138,19,9,0,0
2025-06-07 17:58:04,3,0.139,0.679,0.140,27,20,0,0
2025-06-07 17:58:05,3,0.138,0.701,0.138,21,28,0,0
2025-06-07 17:58:05,3,0.143,0.497,0.142,16,8,0,0
2025-06-07 17:58:06,3,0.139,0.989,0.137,46,37,0,0
2025-06-07 17:58:07,3,0.140,0.501,0.138,12,14,0,0
2025-06-07 17:58:07,3,0.144,0.778,0.143,20,33,0,0
2025-06-07 17:58:08,3,0.141,0.738,0.142,17,31,0,0
2025-06-07 17:58:09,3,0.142,0.806,0.142,36,23,0,0
2025-06-07 17:58:09,3,0.141,0.695,0.141,20,26,0,0
2025-06-07 17:58:10,3,0.139,0.773,0.137,29,28,0,0
2025-06-07 17:58:11,3,0.139,0.418,0.138,10,7,0,0
2025-06-07 17:58:11,3,0.143,0.602,0.142,23,13,0,0
2025-06-07 17:58:12,3,0.141,0.493,0.139,13,12,0,0
2025-06-07 17:58:13,3,0.139,0.568,0.138,16,17,0,0
2025-06-07 17:58:13,3,0.139,0.635,0.137,15,24,0,1
2025-06-07 17:58:14,3,0.143,0.642,0.141,21,19,0,0
2025-06-07 17:58:15,3,0.142,0.552,0.143,9,19,0,0
2025-06-07 17:58:15,3,0.141,0.779,0.138,29,28,0,0
2025-06-07 17:58:16,3,0.140,0.742,0.138,23,30,0,0
2025-06-07 17:58:17,3,0.142,0.610,0.144,15,20,0,0
2025-06-07 17:58:17,3,0.139,0.476,0.139,9,14,0,0
2025-06-07 17:58:18,3,0.145,0.576,0.142,17,15,0,0
2025-06-07 17:58:19,3,0.139,0.708,0.140,28,23,0,0
2025-06-07 17:58:19,3,0.139,0.602,0.138,16,21,0,0
2025-06-07 17:58:20,3,0.142,0.764,0.143,29,24,0,0
2025-06-07 17:58:21,3,0.143,0.673,0.142,15,26,0,0
2025-06-07 17:58:21,3,0.142,0.820,0.143,31,28,0,0
2025-06-07 17:58:22,3,0.142,0.545,0.144,8,19,0,0
2025-06-07 17:58:23,3,0.141,0.562,0.136,15,18,0,0
2025-06-07 17:58:23,3,0.138,0.619,0.137,19,21,0,0
2025-06-07 17:58:24,3,0.140,0.733,0.140,24,28,0,0
2025-06-07 17:58:25,3,0.139,0.487,0.139,8,15,0,0
2025-06-07 17:58:25,3,0.138,0.703,0.138,24,24,0,0
2025-06-07 17:58:26,3,0.140,0.648,0.141,17,24,0,0
2025-06-07 17:58:27,3,0.143,0.544,0.142,12,16,0,0
2025-06-07 17:58:27,3,0.141,0.777,0.143,27,27,0,0
2025-06-07 17:58:28,3,0.142,0.868,0.146,25,37,0,0
2025-06-07 17:58:29,3,0.139,0.677,0.139,20,26,0,0
2025-06-07 17:58:29,3,0.139,0.650,0.138,20,23,0,0
2025-06-07 17:58:30,3,0.139,0.798,0.138,26,33,0,0
2025-06-07 17:58:31,3,0.143,0.800,0.144,26,30,0,0
2025-06-07 17:58:31,3,0.142,0.715,0.145,16,30,0,0
2025-06-07 17:58:32,3,0.139,0.759,0.137,31,26,0,0
2025-06-07 17:58:33,3,0.141,0.603,0.144,21,15,0,0
2025-06-07 17:58:33,3,0.143,0.493,0.142,10,13,0,0
2025-06-07 17:58:34,3,0.144,0.712,0.142,21,25,0,0
2025-06-07 17:58:35,3,0.138,0.562,0.138,14,19,0,0
2025-06-07 17:58:35,3,0.139,0.592,0.137,17,20,0,0
2025-06-07 17:58:36,3,0.144,0.743,0.142,34,18,0,0
2025-06-07 17:58:37,3,0.138,0.657,0.139,20,24,0,0
2025-06-07 17:58:37,3,0.143,0.732,0.142,28,22,0,0
2025-06-07 17:58:38,3,0.143,0.686,0.143,22,22,0,0
2025-06-07 17:58:39,3,0.141,0.748,0.139,27,27,0,0
2025-06-07 17:58:39,3,0.142,0.593,0.143,15,18,0,0
2025-06-07 17:58:40,3,0.140,0.713,0.139,25,26,0,0
2025-06-07 17:58:41,3,0.142,0.517,0.137,18,11,0,0
2025-06-07 17:58:41,3,0.138,0.727,0.138,29,24,0,0
2025-06-07 17:58:42,3,0.144,0.655,0.143,18,22,0,0
2025-06-07 17:58:43,3,0.155,0.871,0.143,39,26,0,0
2025-06-07 17:58:43,3,0.142,0.691,0.142,25,20,0,0
2025-06-07 17:58:44,3,0.138,0.728,0.140,29,23,0,0
2025-06-07 17:58:45,3,0.140,0.568,0.138,16,17,0,0
2025-06-07 17:58:45,3,0.145,0.693,0.142,21,24,0,0
2025-06-07 17:58:46,3,0.142,0.676,0.143,23,20,0,0
2025-06-07 17:58:47,3,0.143,0.594,0.142,10,21,0,1
2025-06-07 17:58:47,3,0.141,0.558,0.142,15,15,0,0
2025-06-07 17:58:48,3,0.141,0.472,0.142,12,9,0,0
2025-06-07 17:58:49,3,0.139,0.645,0.137,18,24,0,0
2025-06-07 17:58:49,3,0.140,0.627,0.139,20,20,0,0
2025-06-07 17:58:50,3,0.140,0.462,0.137,14,8,0,0
2025-06-07 17:58:51,3,0.141,0.658,0.139,17,26,0,0
2025-06-07 17:58:51,3,0.143,0.597,0.143,18,16,0,0
2025-06-07 17:58:52,3,0.141,0.655,0.142,22,19,0,0
2025-06-07 17:58:53,3,0.143,0.638,0.144,16,22,0,0
2025-06-07 17:58:53,3,0.140,0.496,0.139,11,14,0,0
2025-06-07 17:58:54,3,0.141,0.563,0.137,16,17,0,0
