timestamp,mode,keygen,sign,verify,rejections
2025-04-30 14:40:05,3,0.252,0.441,0.263,0
2025-04-30 14:40:07,3,0.263,0.466,0.277,0
2025-04-30 14:40:08,3,0.250,0.428,0.257,0
2025-04-30 14:40:10,3,0.251,0.439,0.270,0
2025-04-30 14:40:11,3,0.270,0.440,0.265,0
2025-04-30 14:40:13,3,0.270,0.481,0.274,0
2025-04-30 14:40:14,3,0.253,0.428,0.257,0
2025-04-30 14:40:16,3,0.249,0.437,0.270,0
2025-04-30 14:40:17,3,0.259,0.437,0.268,0
2025-04-30 14:40:19,3,0.252,0.446,0.257,0
2025-04-30 14:40:20,3,0.251,0.429,0.254,0
2025-04-30 14:40:22,3,0.251,0.445,0.261,0
2025-04-30 14:40:23,3,0.265,0.438,0.264,0
2025-04-30 14:40:25,3,0.265,0.462,0.264,0
2025-04-30 14:40:27,3,0.248,0.434,0.262,0
2025-04-30 14:40:28,3,0.260,0.475,0.260,0
2025-04-30 14:40:30,3,0.252,0.431,0.256,0
2025-04-30 14:40:31,3,0.289,0.503,0.305,0
2025-04-30 14:40:33,3,0.251,0.433,0.256,0
2025-04-30 14:40:34,3,0.285,0.921,0.277,0
2025-04-30 14:40:36,3,0.249,0.445,0.261,0
2025-04-30 14:40:37,3,0.248,0.444,0.262,0
2025-04-30 14:40:39,3,0.262,0.456,0.277,0
2025-04-30 14:40:40,3,0.250,0.444,0.261,0
2025-04-30 14:40:42,3,0.249,0.434,0.266,0
2025-04-30 14:40:43,3,0.252,0.431,0.272,0
2025-04-30 14:40:45,3,0.249,0.433,0.253,0
2025-04-30 14:40:47,3,0.252,0.428,0.254,0
2025-04-30 14:40:48,3,0.252,0.440,0.258,0
2025-04-30 14:40:50,3,0.285,0.491,0.289,0
2025-04-30 14:40:51,3,0.256,0.451,0.259,0
2025-04-30 14:40:53,3,0.264,0.437,0.263,0
2025-04-30 14:40:54,3,0.254,0.427,0.254,0
2025-04-30 14:40:56,3,0.245,0.439,0.257,0
2025-04-30 14:40:57,3,0.254,0.455,0.262,0
2025-04-30 14:40:59,3,0.247,0.437,0.258,0
2025-04-30 14:41:00,3,0.263,0.450,0.268,0
2025-04-30 14:41:02,3,0.257,0.430,0.257,0
2025-04-30 14:41:04,3,0.247,0.432,0.260,0
2025-04-30 14:41:05,3,0.256,0.441,0.258,0
2025-04-30 14:41:07,3,0.250,0.431,0.253,0
2025-04-30 14:41:08,3,0.257,0.446,0.255,0
2025-04-30 14:41:10,3,0.267,0.445,0.261,0
2025-04-30 14:41:11,3,0.247,0.432,0.260,0
2025-04-30 14:41:13,3,0.251,0.430,0.258,0
2025-04-30 14:41:14,3,0.248,0.432,0.254,0
2025-04-30 14:41:16,3,0.259,0.446,0.262,0
2025-04-30 14:41:17,3,0.268,0.462,0.273,0
2025-04-30 14:41:19,3,0.251,0.429,0.258,0
2025-04-30 14:41:20,3,0.263,0.433,0.269,0
2025-04-30 14:41:22,3,0.265,0.457,0.258,0
2025-04-30 14:41:24,3,0.248,0.432,0.265,0
2025-04-30 14:41:25,3,0.250,0.464,0.258,0
2025-04-30 14:41:27,3,0.262,0.440,0.254,0
2025-04-30 14:41:28,3,0.257,0.449,0.263,0
2025-04-30 14:41:30,3,0.251,0.428,0.254,0
2025-04-30 14:41:31,3,0.255,0.433,0.279,0
2025-04-30 14:41:33,3,0.256,0.437,0.256,0
2025-04-30 14:41:34,3,0.252,0.428,0.257,0
2025-04-30 14:41:36,3,0.251,0.435,0.265,0
2025-04-30 14:41:37,3,0.247,0.441,0.267,0
2025-04-30 14:41:39,3,0.255,0.438,0.259,0
2025-04-30 14:41:40,3,0.253,0.429,0.263,0
2025-04-30 14:41:42,3,0.246,0.430,0.260,0
2025-04-30 14:41:43,3,0.254,0.444,0.254,0
2025-04-30 14:41:45,3,0.251,0.498,0.263,0
2025-04-30 14:41:47,3,0.255,0.429,0.261,0
2025-04-30 14:41:48,3,0.271,0.455,0.260,0
2025-04-30 14:41:50,3,0.247,0.433,0.259,0
2025-04-30 14:41:51,3,0.359,0.772,0.372,0
2025-04-30 14:41:53,3,0.305,0.520,0.328,0
2025-04-30 14:41:54,3,0.254,0.426,0.262,0
2025-04-30 14:41:56,3,0.264,0.464,0.254,0
2025-04-30 14:41:57,3,0.258,0.465,0.275,0
2025-04-30 14:41:59,3,0.253,0.435,0.269,0
2025-04-30 14:42:01,3,0.251,0.441,0.261,0
2025-04-30 14:42:02,3,0.262,0.450,0.264,0
2025-04-30 14:42:04,3,0.246,0.433,0.259,0
2025-04-30 14:42:05,3,0.249,0.430,0.259,0
2025-04-30 14:42:07,3,0.249,0.433,0.256,0
2025-04-30 14:42:08,3,0.255,0.437,0.256,0
2025-04-30 14:42:10,3,0.250,0.434,0.262,0
2025-04-30 14:42:11,3,0.250,0.437,0.263,0
2025-04-30 14:42:13,3,0.291,0.435,0.260,0
2025-04-30 14:42:14,3,0.255,0.425,0.258,0
2025-04-30 14:42:16,3,0.248,0.430,0.255,0
