timestamp,mode,keygen,sign,verify,rejections,ntru_timing,gauss_timing,fft_timing
2025-06-23 16:57:51,1024,29.295,7.988,0.069,0.0000,22.153,1.324,5.406
2025-06-23 16:57:52,1024,29.296,7.977,0.068,0.0000,22.156,1.324,5.404
2025-06-23 16:57:53,1024,29.292,7.980,0.069,0.0000,22.153,1.323,5.403
2025-06-23 16:57:54,1024,29.306,7.993,0.069,0.0000,22.169,1.322,5.402
2025-06-23 16:57:55,1024,29.336,7.980,0.069,0.0000,22.195,1.324,5.402
2025-06-23 16:57:56,1024,29.314,7.980,0.069,0.0000,22.173,1.324,5.406
2025-06-23 16:57:57,1024,29.323,7.988,0.068,0.0000,22.151,1.357,5.401
2025-06-23 16:57:58,1024,29.283,8.003,0.069,0.0000,22.143,1.328,5.400
2025-06-23 16:57:59,1024,29.325,7.986,0.068,0.0000,22.191,1.318,5.403
2025-06-23 16:58:00,1024,29.311,7.983,0.069,0.0000,22.151,1.326,5.420
2025-06-23 16:58:01,1024,29.309,8.008,0.069,0.0000,22.163,1.324,5.408
2025-06-23 16:58:03,1024,29.310,8.001,0.069,0.0000,22.167,1.323,5.407
2025-06-23 16:58:04,1024,29.340,7.981,0.068,0.0000,22.198,1.322,5.407
2025-06-23 16:58:05,1024,29.291,7.979,0.069,0.0000,22.153,1.324,5.400
2025-06-23 16:58:06,1024,29.338,7.994,0.069,0.0000,22.182,1.329,5.414
2025-06-23 16:58:07,1024,29.300,7.986,0.069,0.0000,22.159,1.323,5.406
2025-06-23 16:58:08,1024,29.367,8.001,0.070,0.0000,22.205,1.328,5.419
2025-06-23 16:58:09,1024,29.305,7.980,0.069,0.0000,22.156,1.326,5.410
2025-06-23 16:58:10,1024,29.357,7.995,0.069,0.0000,22.199,1.329,5.414
2025-06-23 16:58:11,1024,29.300,7.983,0.069,0.0000,22.162,1.321,5.405
2025-06-23 16:58:12,1024,29.352,7.992,0.069,0.0000,22.209,1.321,5.409
2025-06-23 16:58:13,1024,29.291,7.984,0.069,0.0000,22.150,1.324,5.405
2025-06-23 16:58:14,1024,29.351,7.993,0.069,0.0000,22.194,1.326,5.419
2025-06-23 16:58:15,1024,29.299,7.989,0.068,0.0000,22.156,1.323,5.407
2025-06-23 16:58:16,1024,29.376,8.005,0.070,0.0000,22.212,1.330,5.421
