timestamp,mode,keygen,sign,verify,high_rej,low_rej
2025-06-13 23:00:45,512,19.501,4.779,0.047,0.0000,757.5000
2025-06-13 23:00:46,512,16.016,4.015,0.042,0.0000,757.5000
2025-06-13 23:00:47,512,15.972,3.957,0.035,0.0000,757.5000
2025-06-13 23:00:48,512,16.144,4.082,0.037,0.0000,757.5000
2025-06-13 23:00:49,512,15.905,3.973,0.037,0.0000,757.5000
2025-06-13 23:00:50,512,15.948,3.930,0.037,0.0000,757.5000
2025-06-13 23:00:51,512,15.896,3.946,0.036,0.0000,757.5000
2025-06-13 23:00:52,512,16.218,4.116,0.035,0.0000,757.5000
2025-06-13 23:00:53,512,16.305,4.065,0.037,0.0000,757.5000
2025-06-13 23:00:54,512,15.945,3.954,0.036,0.0000,757.5000
2025-06-13 23:00:55,512,16.268,4.056,0.042,0.0000,757.5000
2025-06-13 23:00:56,512,16.020,4.062,0.037,0.0000,757.5000
2025-06-13 23:00:58,512,16.053,3.996,0.038,0.0000,757.5000
2025-06-13 23:00:59,512,16.659,4.168,0.045,0.0000,757.5000
2025-06-13 23:01:00,512,15.944,3.968,0.036,0.0000,757.5000
2025-06-13 23:01:01,512,16.131,4.005,0.036,0.0000,757.5000
2025-06-13 23:01:02,512,16.522,4.133,0.036,0.0000,757.5000
2025-06-13 23:01:03,512,16.064,3.999,0.036,0.0000,757.5000
2025-06-13 23:01:04,512,16.116,4.005,0.036,0.0000,757.5000
2025-06-13 23:01:05,512,16.061,3.996,0.036,0.0000,757.5000
2025-06-13 23:01:06,512,16.314,3.986,0.038,0.0000,757.5000
2025-06-13 23:01:07,512,16.288,4.060,0.038,0.0000,757.5000
2025-06-13 23:01:08,512,15.989,3.974,0.035,0.0000,757.5000
2025-06-13 23:01:10,512,16.105,4.051,0.038,0.0000,757.5000
2025-06-13 23:01:11,512,16.192,4.025,0.037,0.0000,757.5000
2025-06-13 23:01:12,512,15.961,4.007,0.036,0.0000,757.5000
2025-06-13 23:01:13,512,15.963,3.971,0.035,0.0000,757.5000
2025-06-13 23:01:14,512,15.948,3.960,0.039,0.0000,757.5000
2025-06-13 23:01:15,512,15.974,3.954,0.038,0.0000,757.5000
2025-06-13 23:01:16,512,16.212,4.057,0.039,0.0000,757.5000
2025-06-13 23:01:17,512,15.927,4.000,0.039,0.0000,757.5000
2025-06-13 23:01:18,512,16.251,4.031,0.036,0.0000,757.5000
2025-06-13 23:01:19,512,16.085,4.003,0.038,0.0000,757.5000
2025-06-13 23:01:20,512,15.995,3.971,0.038,0.0000,757.5000
2025-06-13 23:01:21,512,15.914,3.952,0.035,0.0000,757.5000
2025-06-13 23:01:23,512,16.621,4.246,0.037,0.0000,757.5000
2025-06-13 23:01:24,512,16.290,3.977,0.036,0.0000,757.5000
2025-06-13 23:01:25,512,16.099,3.963,0.036,0.0000,757.5000
2025-06-13 23:01:26,512,16.408,4.020,0.038,0.0000,757.5000
2025-06-13 23:01:27,512,16.089,3.996,0.036,0.0000,757.5000
2025-06-13 23:01:28,512,16.292,4.060,0.046,0.0000,757.5000
