timestamp,mode,keygen,sign,verify
2025-05-19 05:25:18,128f,25.938,633.653,40.066
2025-05-19 05:25:19,128f,26.040,630.503,39.533
2025-05-19 05:25:20,128f,25.856,633.742,39.827
2025-05-19 05:25:22,128f,26.041,631.239,39.804
2025-05-19 05:25:23,128f,26.208,636.086,40.465
2025-05-19 05:25:25,128f,26.315,635.931,40.086
2025-05-19 05:25:26,128f,27.270,634.261,40.172
2025-05-19 05:25:27,128f,25.974,634.119,40.072
2025-05-19 05:25:29,128f,25.951,633.363,40.339
2025-05-19 05:25:30,128f,26.031,630.057,39.749
2025-05-19 05:25:32,128f,25.917,631.765,40.669
2025-05-19 05:25:33,128f,26.099,633.279,39.617
2025-05-19 05:25:34,128f,26.080,634.404,39.475
2025-05-19 05:25:36,128f,25.972,628.522,39.960
2025-05-19 05:25:37,128f,26.011,633.238,40.419
2025-05-19 05:25:39,128f,26.065,631.833,39.662
2025-05-19 05:25:40,128f,25.984,632.034,40.332
2025-05-19 05:25:41,128f,27.871,633.202,39.940
2025-05-19 05:25:43,128f,26.441,632.224,39.327
2025-05-19 05:25:44,128f,26.168,629.351,39.895
2025-05-19 05:25:46,128f,26.163,632.971,39.584
2025-05-19 05:25:47,128f,26.268,629.781,40.065
2025-05-19 05:25:49,128f,26.123,631.096,39.719
2025-05-19 05:25:50,128f,25.930,636.079,40.446
2025-05-19 05:25:51,128f,26.210,631.145,40.376
2025-05-19 05:25:53,128f,26.028,631.272,39.936
2025-05-19 05:25:54,128f,26.011,634.774,40.848
2025-05-19 05:25:56,128f,26.518,630.751,40.175
2025-05-19 05:25:57,128f,26.188,632.038,40.312
2025-05-19 05:25:58,128f,26.016,636.376,40.145
2025-05-19 05:26:00,128f,25.924,634.473,39.800
2025-05-19 05:26:01,128f,26.117,629.793,40.121
2025-05-19 05:26:03,128f,26.069,639.251,39.573
2025-05-19 05:26:04,128f,26.188,634.160,39.940
2025-05-19 05:26:05,128f,26.078,628.767,40.540
2025-05-19 05:26:07,128f,26.477,640.832,40.571
2025-05-19 05:26:08,128f,26.111,631.406,40.213
2025-05-19 05:26:10,128f,26.045,628.927,40.046
2025-05-19 05:26:11,128f,25.896,637.317,40.594
2025-05-19 05:26:12,128f,26.291,634.034,39.922
2025-05-19 05:26:14,128f,25.968,627.102,39.863
2025-05-19 05:26:15,128f,26.070,629.040,40.059
2025-05-19 05:26:17,128f,26.324,633.222,40.309
2025-05-19 05:26:18,128f,26.103,631.646,40.137
2025-05-19 05:26:19,128f,26.315,630.763,40.225
2025-05-19 05:26:21,128f,26.266,634.340,39.997
2025-05-19 05:26:22,128f,26.167,632.451,39.435
2025-05-19 05:26:24,128f,26.080,633.627,40.005
2025-05-19 05:26:25,128f,25.988,632.658,39.539
2025-05-19 05:26:26,128f,26.313,634.530,40.600
2025-05-19 05:26:28,128f,26.079,632.202,39.618
2025-05-19 05:26:29,128f,26.323,630.491,39.857
2025-05-19 05:26:31,128f,26.077,635.611,40.452
2025-05-19 05:26:32,128f,25.910,629.397,40.058
2025-05-19 05:26:33,128f,26.255,632.622,40.119
2025-05-19 05:26:35,128f,26.531,631.572,39.373
2025-05-19 05:26:36,128f,26.043,632.726,40.214
2025-05-19 05:26:38,128f,26.422,633.993,40.426
2025-05-19 05:26:39,128f,26.027,633.327,41.177
2025-05-19 05:26:41,128f,27.427,639.925,42.902
2025-05-19 05:26:42,128f,25.943,634.509,39.676
2025-05-19 05:26:43,128f,25.946,645.329,40.026
2025-05-19 05:26:45,128f,26.246,630.228,40.080
2025-05-19 05:26:46,128f,26.203,636.268,40.446
2025-05-19 05:26:48,128f,25.869,634.487,40.170
2025-05-19 05:26:49,128f,26.258,631.514,40.048
2025-05-19 05:26:50,128f,25.811,639.661,41.743
2025-05-19 05:26:52,128f,26.140,634.564,40.151
2025-05-19 05:26:53,128f,25.999,631.502,40.261
2025-05-19 05:26:55,128f,26.282,634.256,40.158
2025-05-19 05:26:56,128f,26.422,631.690,39.523
2025-05-19 05:26:57,128f,26.396,631.230,40.064
2025-05-19 05:26:59,128f,26.090,632.101,39.817
2025-05-19 05:27:00,128f,26.118,630.086,40.871
2025-05-19 05:27:02,128f,25.952,629.591,39.511
2025-05-19 05:27:03,128f,26.294,631.559,40.201
2025-05-19 05:27:04,128f,26.019,631.681,39.681
2025-05-19 05:27:06,128f,26.275,631.399,39.907
2025-05-19 05:27:07,128f,25.910,631.138,40.078
2025-05-19 05:27:09,128f,26.310,631.237,40.373
2025-05-19 05:27:10,128f,25.860,630.600,39.905
2025-05-19 05:27:12,128f,25.870,635.949,39.867
2025-05-19 05:27:13,128f,25.880,633.848,39.335
2025-05-19 05:27:14,128f,26.139,633.206,40.519
2025-05-19 05:27:16,128f,27.085,636.089,41.743
2025-05-19 05:27:17,128f,26.255,629.778,40.381
2025-05-19 05:27:19,128f,25.901,632.334,40.575
2025-05-19 05:27:20,128f,26.485,635.081,40.075
2025-05-19 05:27:21,128f,25.886,633.173,39.606
2025-05-19 05:27:23,128f,26.023,630.372,39.759
2025-05-19 05:27:24,128f,26.040,634.802,40.198
2025-05-19 05:27:26,128f,26.271,631.559,39.965
2025-05-19 05:27:27,128f,26.090,631.994,39.507
2025-05-19 05:27:28,128f,26.020,636.937,39.826
2025-05-19 05:27:30,128f,26.063,635.971,40.249
2025-05-19 05:27:31,128f,26.333,630.989,40.069
2025-05-19 05:27:33,128f,26.089,630.298,40.392
2025-05-19 05:27:34,128f,26.029,638.170,39.683
2025-05-19 05:27:35,128f,26.235,630.075,40.412
2025-05-19 05:27:37,128f,26.118,632.308,40.029
