timestamp,mode,keygen,sign,verify
2025-04-21 17:59:06,192s,1001.722,9218.566,7.875
2025-04-21 17:59:17,192s,992.282,9109.729,7.568
2025-04-21 17:59:28,192s,997.238,9178.072,7.653
2025-04-21 17:59:37,192s,996.631,9142.248,7.545
2025-04-21 17:59:48,192s,1007.816,9215.496,7.487
2025-04-21 17:59:56,192s,1029.736,9199.728,7.788
2025-04-21 18:00:07,192s,1014.867,9191.218,8.202
2025-04-21 18:00:19,192s,1000.517,9208.250,7.605
2025-04-21 18:00:27,192s,1002.399,9173.323,7.576
2025-04-21 18:00:38,192s,1001.404,9280.155,7.659
