timestamp,mode,keygen,sign,verify
2025-05-19 10:25:37,256f,18.713,368.208,10.202
2025-05-19 10:25:42,256f,18.602,367.495,10.193
2025-05-19 10:25:47,256f,18.532,366.062,10.304
2025-05-19 10:25:51,256f,18.503,366.476,10.107
2025-05-19 10:25:56,256f,18.456,365.814,10.196
2025-05-19 10:26:01,256f,18.667,369.368,10.441
2025-05-19 10:26:06,256f,18.828,373.373,10.646
2025-05-19 10:26:10,256f,18.673,367.992,10.311
2025-05-19 10:26:15,256f,18.638,367.487,10.313
2025-05-19 10:26:20,256f,18.609,366.943,10.275
2025-05-19 10:26:24,256f,18.597,365.91,10.163
2025-05-19 10:26:29,256f,18.539,366.246,10.216
2025-05-19 10:26:34,256f,18.696,370.144,10.398
2025-05-19 10:26:38,256f,18.834,370.141,10.278
2025-05-19 10:26:43,256f,18.579,371.941,10.159
2025-05-19 10:26:48,256f,18.588,366.302,10.312
2025-05-19 10:26:52,256f,18.565,368.178,10.14
2025-05-19 10:26:57,256f,18.511,368.275,10.244
2025-05-19 10:27:02,256f,18.562,366.399,10.256
2025-05-19 10:27:07,256f,18.837,373.771,10.526
2025-05-19 10:27:11,256f,18.64,370.459,10.39
2025-05-19 10:27:16,256f,18.659,368.87,10.192
2025-05-19 10:27:21,256f,18.593,366.376,10.242
2025-05-19 10:27:25,256f,18.528,366.423,10.166
2025-05-19 10:27:30,256f,18.534,365.687,10.122
2025-05-19 10:27:35,256f,18.603,366.304,10.163
2025-05-19 10:27:39,256f,18.879,372.553,10.427
2025-05-19 10:27:44,256f,18.677,369.064,10.343
2025-05-19 10:27:49,256f,18.632,368.159,10.129
2025-05-19 10:27:53,256f,18.623,366.044,10.138
2025-05-19 10:27:58,256f,18.499,366.101,10.229
2025-05-19 10:28:03,256f,18.585,365.914,10.121
2025-05-19 10:28:08,256f,18.878,365.274,10.356
2025-05-19 10:28:12,256f,18.939,374.202,10.446
2025-05-19 10:28:17,256f,18.79,369.395,10.38
2025-05-19 10:28:22,256f,18.94,367.79,10.207
2025-05-19 10:28:26,256f,18.573,366.012,10.194
2025-05-19 10:28:31,256f,18.439,364.943,10.154
2025-05-19 10:28:36,256f,18.496,365.755,10.004
2025-05-19 10:28:40,256f,18.537,367.102,10.257
2025-05-19 10:28:45,256f,18.95,372.916,10.395
2025-05-19 10:28:50,256f,18.749,368.627,10.16
2025-05-19 10:28:55,256f,18.547,367.379,10.174
2025-05-19 10:28:59,256f,18.595,365.98,10.211
2025-05-19 10:29:04,256f,18.551,366.436,10.153
2025-05-19 10:29:09,256f,18.496,365.771,10.221
2025-05-19 10:29:13,256f,18.607,367.94,10.21
2025-05-19 10:29:18,256f,18.825,370.753,10.428
2025-05-19 10:29:23,256f,18.903,367.956,10.182
2025-05-19 10:29:27,256f,18.6,367.296,10.205
2025-05-19 10:29:32,256f,18.782,366.707,10.286
2025-05-19 10:29:37,256f,18.586,367.173,10.188
2025-05-19 10:29:41,256f,18.453,365.425,10.179
2025-05-19 10:29:46,256f,18.699,369.427,10.404
2025-05-19 10:29:51,256f,18.781,370.698,10.337
2025-05-19 10:29:56,256f,18.693,367.674,10.344
2025-05-19 10:30:00,256f,18.643,367.378,10.224
2025-05-19 10:30:05,256f,18.526,366.255,10.212
2025-05-19 10:30:10,256f,18.564,367.448,10.126
2025-05-19 10:30:14,256f,18.602,367.018,10.324
2025-05-19 10:30:19,256f,18.674,371.075,10.287
2025-05-19 10:30:24,256f,18.785,372.709,10.528
2025-05-19 10:30:28,256f,18.693,368.115,10.255
2025-05-19 10:30:33,256f,18.864,366.737,10.207
2025-05-19 10:30:38,256f,18.582,368.11,10.174
2025-05-19 10:30:42,256f,18.532,365.616,10.226
2025-05-19 10:30:47,256f,19.428,366.452,10.073
2025-05-19 10:30:52,256f,18.84,371.361,10.281
2025-05-19 10:30:57,256f,18.868,370.283,10.41
2025-05-19 10:31:01,256f,18.591,367.791,10.236
2025-05-19 10:31:06,256f,18.579,366.875,10.478
2025-05-19 10:31:11,256f,18.506,366.054,10.176
2025-05-19 10:31:15,256f,18.528,365.963,10.094
2025-05-19 10:31:20,256f,18.569,367.646,10.418
2025-05-19 10:31:25,256f,19.395,373.001,10.633
2025-05-19 10:31:30,256f,18.874,369.731,10.237
2025-05-19 10:31:34,256f,18.708,369.279,10.284
2025-05-19 10:31:39,256f,18.654,368.42,10.14
2025-05-19 10:31:44,256f,18.575,365.912,10.261
2025-05-19 10:31:48,256f,18.478,365.816,10.138
2025-05-19 10:31:53,256f,18.495,365.886,10.141
2025-05-19 10:31:58,256f,18.871,371.824,10.398
2025-05-19 10:32:03,256f,18.797,368.486,10.328
2025-05-19 10:32:07,256f,18.59,367.039,10.191
2025-05-19 10:32:12,256f,18.592,366.165,10.157
2025-05-19 10:32:17,256f,18.601,365.872,10.147
2025-05-19 10:32:21,256f,18.514,365.629,10.217
2025-05-19 10:32:26,256f,18.461,366.528,10.222
2025-05-19 10:32:31,256f,19.194,372.793,10.424
2025-05-19 10:32:35,256f,19.438,369.448,10.491
2025-05-19 10:32:40,256f,18.599,368.951,10.29
2025-05-19 10:32:45,256f,18.598,366.777,10.224
2025-05-19 10:32:49,256f,18.613,366.591,10.224
2025-05-19 10:32:54,256f,18.61,365.453,10.22
2025-05-19 10:32:59,256f,18.551,366.497,10.371
2025-05-19 10:33:03,256f,18.805,370.259,10.317
2025-05-19 10:33:08,256f,18.997,369.525,10.774
2025-05-19 10:33:13,256f,18.594,365.694,10.319
2025-05-19 10:33:17,256f,18.516,366.112,10.314
2025-05-19 10:33:22,256f,18.762,366.434,10.331
