timestamp,mode,keygen,sign,verify
2025-04-21 17:45:27,256s,1058.952,12549.130,17.622
2025-04-21 17:45:42,256s,1061.388,12583.964,17.873
2025-04-21 17:45:56,256s,1066.551,12583.725,17.491
2025-04-21 17:46:08,256s,1060.744,12665.685,18.435
2025-04-21 17:46:24,256s,1128.481,13209.961,19.195
2025-04-21 17:46:36,256s,1076.961,12705.837,18.817
2025-04-21 17:46:51,256s,1070.266,12828.159,17.890
2025-04-21 17:47:03,256s,1073.119,12611.513,18.776
2025-04-21 17:47:17,256s,1068.710,12737.310,17.746
2025-04-21 17:47:30,256s,1056.090,12657.166,18.250
