Hash,THash,Mode,Type,KeyGen Time (ms),Sign Time (ms),Verify Time (ms)
haraka,robust,128f,Fast,37.11,897.4,58.03
haraka,robust,128s,Small,2318.04,18203.39,21.15
haraka,robust,192f,Fast,54.31,1514.7,85.66
haraka,robust,192s,Small,3569.9,35601.55,33.22
haraka,robust,256f,Fast,146.63,3270.59,94.07
haraka,robust,256s,Small,2377.27,33980.52,49.98
haraka,simple,128f,Fast,20.01,487.34,30.94
haraka,simple,128s,Small,1289.19,10278.33,11.88
haraka,simple,192f,Fast,30.63,836.54,45.7
haraka,simple,192s,Small,1910.54,19461.67,16.96
haraka,simple,256f,Fast,78.02,1792.36,48.44
haraka,simple,256s,Small,1251.02,19217.84,26.34
sha2,robust,128f,Fast,21.41,501.08,31.93
sha2,robust,128s,Small,1378.33,10379.84,10.74
sha2,robust,192f,Fast,31.55,815.68,46.7
sha2,robust,192s,Small,1999.09,17829.85,16.24
sha2,robust,256f,Fast,111.97,2191.32,62.64
sha2,robust,256s,Small,1808.32,20134.0,31.18
sha2,simple,128f,Fast,10.62,248.4,14.84
sha2,simple,128s,Small,759.14,5773.65,5.76
sha2,simple,192f,Fast,15.79,406.7,22.68
sha2,simple,192s,Small,1004.46,9191.68,7.7
sha2,simple,256f,Fast,48.15,959.5,25.54
sha2,simple,256s,Small,652.56,7998.95,11.08
shake,robust,128f,Fast,33.24,790.67,47.78
shake,robust,128s,Small,2139.3,16125.65,16.7
shake,robust,192f,Fast,49.2,1248.93,70.82
shake,robust,192s,Small,3261.89,28408.94,25.09
shake,robust,256f,Fast,133.95,2627.23,71.89
shake,robust,256s,Small,2126.77,24082.86,37.1
shake,simple,128f,Fast,17.4,403.74,24.17
shake,simple,128s,Small,1100.9,8380.88,8.23
shake,simple,192f,Fast,24.56,646.77,35.51
shake,simple,192s,Small,1664.72,15047.89,12.23
shake,simple,256f,Fast,67.67,1364.17,35.02
shake,simple,256s,Small,1072.13,12713.24,18.21
